,ancientplace,coord,romanscript,namehistory,cdli2,pleiades,Unnamed: 0,Double record?,qid,Sarwiki,P418,P34,Unnamed: 5,Unnamed: 6,Senwiki,P671,P34.1,Wikidata_qid,Wikidata2,Len,Den,P2,P2.1,P131,P131.1,lat_lon_P48,P670,qal18,wik_en_x,sv.wiki,wik_tr_x,Description,anc_name_x,lat_wgs1984,lon_wgs1984,accuracy_x,qid.1,"cdli_legacy_""Len""",cdli_provenience_id_P694,transciption_name,language,tr_name,ara_name_x,arm_name_x,fas_name_x,geo_name_x,gre_name_x,heb_name_x,rus_name_x,pleiades_id_P671,osm_id_x,osm_type_x,site_id_x,geonames_id_x,Unnamed: 47,wik_ara_x,wik_fas_x,wik_gre_x,wik_heb_x,wik_en.1,lan,qid.2,"qid,Len,Lfr,Lde,Den,P2,P2,P131,P131,P48,P670,qal18",place,link,placeLabel,site_id_y,cdli_provenience_id,accuracy_y,anc_name_y,transc_name,ara_name_y,arm_name_y,fas_name_y,geo_name_y,gre_name_y,heb_name_y,rus_name_y,pleiades_id,osm_id_y,osm_type_y,geonames_id_y,cdli_legacy,wik_en_y,wik_ara_y,wik_fas_y,wik_gre_y,wik_heb_y,wik_tr_y,geometry,_merge
132,https://database.factgrid.de/entity/Q389789,Point(38.4078 36.8484),Arslān Ṭash,أرسلان طاش,35.0,658399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
146,https://database.factgrid.de/entity/Q389796,Point(45.481 31.8383),Ishān Abū Ḥaṭab,إشان أبو حطب,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
152,https://database.factgrid.de/entity/Q389767,Point(45.495 40.1537),Ōdzaberd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
155,https://database.factgrid.de/entity/Q389709,Point(48.5229 32.0078),Chughā Zanbīl,چغازنبیل,109.0,459393126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
164,https://database.factgrid.de/entity/Q389787,Point(45.9962 30.8169),Abū Shahraīn,أبو شهرين,59.0,912845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
170,https://database.factgrid.de/entity/Q389747,Point(44.538 40.1405),Arin Berd,,,863785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
177,https://database.factgrid.de/entity/Q389832,Point(46.1776 31.5591),Tall Tīlūh,تا تيلوه,88.0,912855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
178,https://database.factgrid.de/entity/Q389620,Point(32.4914 30.2285),Kabrīt,كبريت,413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
180,https://database.factgrid.de/entity/Q389616,Point(32.5332 25.5832),Ṭūd,طود,,786132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
183,https://database.factgrid.de/entity/Q389645,Point(34.7307 31.5474),Tel Hesi,,437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
187,https://database.factgrid.de/entity/Q389954,Point(40.5553 34.9738),Tall Masaikh,جبل مسئخ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
188,https://database.factgrid.de/entity/Q389903,Point(45.2922 32.0591),Tall Dariyhim,تل دريهم,160.0,359215729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
191,https://database.factgrid.de/entity/Q389955,Point(35.646 34.1191),Jibaīl,جبيل,47.0,668216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
200,https://database.factgrid.de/entity/Q389940,Point(38.1126 35.9876),Tall Maskanah,تل مسكنة,143.0,279984092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
209,https://database.factgrid.de/entity/Q389967,Point(41.5866 34.4611),Khirbat al-Diniyah,خربة الدينية,276.0,894003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
214,https://database.factgrid.de/entity/Q389998,Point(50.5256 26.1517),‘Ālī,عالي,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
219,https://database.factgrid.de/entity/Q390001,Point(43.2611 35.4557),Qalʻat Shirqāṭ,قاعة شرقط,211.0,893945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
220,https://database.factgrid.de/entity/Q390001,Point(43.2611 35.4557),Qalʻat Shirqāṭ,قاعة شرقط,205.0,893945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
226,https://database.factgrid.de/entity/Q389969,Point(43.2347 36.5035),Khūrsabāṭ,خورسباط,290.0,874458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
229,https://database.factgrid.de/entity/Q389938,Point(36.7983 35.799),Tall Mardīkh,تل مرديخ,79.0,869702586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
230,https://database.factgrid.de/entity/Q389914,Point(44.7851 32.0917),Tall Ṣadūm,تل صدوم,223.0,912901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
233,https://database.factgrid.de/entity/Q389944,Point(45.6602 32.3127),Tall Wilāiyah,تل ولاية,132.0,762762282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
240,https://database.factgrid.de/entity/Q389910,Point(40.8978 36.8755),Tall Shāghir Bāzār,تل شاغر بازار,136.0,480215077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
243,https://database.factgrid.de/entity/Q389936,Point(41.5642 36.9243),Tall Muḥamad Diyāb,تل محمد دياب,,957515415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
244,https://database.factgrid.de/entity/Q389922,Point(45.9316 33.1238),Tall ‘Aqār,تل عقار,178.0,903013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
245,https://database.factgrid.de/entity/Q389957,Point(38.0156 36.8294),Jarāblus,جرابلس,270.0,658465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
253,https://database.factgrid.de/entity/Q389941,Point(38.1298 36.2182),Tall Munbāqah,تل منباقه,214.0,703315102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
254,https://database.factgrid.de/entity/Q389972,Point(42.9205 36.8623),Dāhuk,دهوك,164.0,955792756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
260,https://database.factgrid.de/entity/Q389948,Point(43.2793 35.4944),Tulūl al-‘Aqir,تلول الأقر,234.0,430344980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
261,https://database.factgrid.de/entity/Q389981,Point(44.6965 35.8739),Sātū Qalā,ساتو قلا,387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
263,https://database.factgrid.de/entity/Q389973,Point(40.7298 34.7479),Dūrā Awrubūs,دورا أوربوس,220.0,893990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
264,https://database.factgrid.de/entity/Q390003,Point(43.7514 36.1039),Qaṣr Shimāmūk,قصر شماموك,302.0,894027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
275,https://database.factgrid.de/entity/Q389905,Point(45.9672 31.2946),Tall al-Sifr,تل سفر,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
276,https://database.factgrid.de/entity/Q389905,Point(45.9672 31.2946),Tall al-Sifr,تل سفر,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
279,https://database.factgrid.de/entity/Q389923,Point(44.1888 33.3599),Tall ‘Aqarqūf,تل عقرقوف,13.0,893988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
284,https://database.factgrid.de/entity/Q390005,Point(50.5209 26.2328),Qalʻat al-Baḥraīn,قلعة البحرين,377.0,932478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
288,https://database.factgrid.de/entity/Q389869,Point(43.9799 35.3808),Tall al-Fakhar,تل الفخار,,574198886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
289,https://database.factgrid.de/entity/Q389864,Point(38.0359 36.7875),Tall al-Shiyūkh Fūqānī,تل الشيوخ فوقاني,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
293,https://database.factgrid.de/entity/Q389863,Point(40.7436 35.6463),Tall al-Shaiykh Hamad,تل الشيخ حمد,135.0,893991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
294,https://database.factgrid.de/entity/Q389803,Point(42.5973 36.4295),Tall Abū Māriyā,ال أبو ماريا,158.0,874723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
295,https://database.factgrid.de/entity/Q389803,Point(42.5973 36.4295),Tall Abū Māriyā,ال أبو ماريا,185.0,874723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
298,https://database.factgrid.de/entity/Q389889,Point(41.127 36.7386),Tall Barri,تل بري,300.0,874732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
299,https://database.factgrid.de/entity/Q389800,Point(45.2688 31.8852),Īšān Baḥrīyāt,إشان نحريات,303.0,912868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
303,https://database.factgrid.de/entity/Q389885,Point(40.8136 36.3875),Tall Budayrī,تل بديري,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
306,https://database.factgrid.de/entity/Q389827,Point(43.4033 36.2294),Balāwāt,بلاوات,275.0,90032637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
307,https://database.factgrid.de/entity/Q389859,Point(42.45 36.2569),Tall al-Rimah,تل الرمة,242.0,356369838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
312,https://database.factgrid.de/entity/Q389862,Point(39.4981 36.6469),Tall al-Shuwaiyrah,تل الشويرة,204.0,677382294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
315,https://database.factgrid.de/entity/Q389886,Point(41.0584 36.667),Tall Brāk,تل براك,217.0,874735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
324,https://database.factgrid.de/entity/Q389884,Point(38.2762 36.4273),Tall Bāzy,تل بازي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
326,https://database.factgrid.de/entity/Q389830,Point(43.1037 36.4222),Baysān,بيسان,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
327,https://database.factgrid.de/entity/Q389878,Point(36.5194 34.557),Tall al-Nabī Mandū,تل النبي مندو,,668291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
329,https://database.factgrid.de/entity/Q389820,Point(44.4258 32.535),Bābīl,بابيل,299.0,893951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
330,https://database.factgrid.de/entity/Q389820,Point(44.4258 32.535),Bābīl,بابيل,200.0,893951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
333,https://database.factgrid.de/entity/Q389825,Point(44.3434 32.3924),Birs Nimrūd,برس نمرود,83.0,893964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
336,https://database.factgrid.de/entity/Q389880,Point(46.4108 31.4182),Tall al-Hibā,تل الهبا,39.0,959120263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
346,https://database.factgrid.de/entity/Q389875,Point(46.004 31.3832),Tall al-Madinah,تل المدينة,133.0,771224406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
350,https://database.factgrid.de/entity/Q389868,Point(36.3842 36.2377),Tel Açana,تل العطشانة,162.0,309866128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
352,https://database.factgrid.de/entity/Q389848,Point(44.6112 32.7605),Tall Ībrāhīm,تل إبراهيم,23.0,893977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
354,https://database.factgrid.de/entity/Q389831,Point(44.7276 33.4837),Tall ʼAsmar,تا أسمر,91.0,90720956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
355,https://database.factgrid.de/entity/Q389888,Point(46.1189 31.4433),Tall Baridiyah,تل بردية,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
356,https://database.factgrid.de/entity/Q389822,Point(42.7213 36.9589),Bassatki,باستكي,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
359,https://database.factgrid.de/entity/Q389841,Point(45.2207 32.4055),Tall Abū Duwārī,تل أبو دواري,192.0,715980704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
362,https://database.factgrid.de/entity/Q389871,Point(43.4095 36.3056),Tall al-Qaddīsah Barbārah,تل القديسة بربارة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
364,https://database.factgrid.de/entity/Q389828,Point(45.5218 31.5757),Banāt al-Hassan,بنات الحسن,,912818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
366,https://database.factgrid.de/entity/Q389857,Point(44.4668 32.2961),Tall al-Dilaiym,تل الدليم,253.0,893987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
370,https://database.factgrid.de/entity/Q389860,Point(45.8549 31.2832),Tall al-Sankarah,تل السنكرة,168.0,912897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
390,https://database.factgrid.de/entity/Q389890,Point(42.9369 36.6888),Tall Baqāq,تل بقاق,,977603753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
391,https://database.factgrid.de/entity/Q389821,Point(41.4851 36.3757),Bārah,بارة,27.0,914118847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
402,https://database.factgrid.de/entity/Q389662,Point(34.8956 36.9123),Gözlükule,,,648789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
